continent;region;subregion;country;M49 code;ISO-alpha3 code;population
Asia;Southern Asia;Southern Asia;Afghanistan;4;AFG;38041754
Europe;Southern Europe;Southern Europe;Albania;8;ALB;2854191
Americas;Northern America;Northern America;Antarctica;10;ATA;#N/A
Africa;Northern Africa;Northern Africa;Algeria;12;DZA;43053054
Oceania;Polynesia;Polynesia;American Samoa;16;ASM;55312
Europe;Southern Europe;Southern Europe;Andorra;20;AND;77142
Africa;Sub-Saharan Africa;Middle Africa;Angola;24;AGO;31825295
Americas;Latin America and the Caribbean;Caribbean;Antigua and Barbuda;28;ATG;97118
Asia;Western Asia;Western Asia;Azerbaijan;31;AZE;10023318
Americas;South America;South America;Argentina;32;ARG;44938712
Oceania;Australia and New Zealand;Australia and New Zealand;Australia;36;AUS;25364307
Europe;Western Europe;Western Europe;Austria;40;AUT;8877067
Americas;Latin America and the Caribbean;Caribbean;Bahamas;44;BHS;389482
Asia;Western Asia;Western Asia;Bahrain;48;BHR;1641172
Asia;Southern Asia;Southern Asia;Bangladesh;50;BGD;163046161
Asia;Western Asia;Western Asia;Armenia;51;ARM;2957731
Americas;Latin America and the Caribbean;Caribbean;Barbados;52;BRB;287025
Europe;Western Europe;Western Europe;Belgium;56;BEL;11484055
Americas;Northern America;Northern America;Bermuda;60;BMU;63918
Asia;Southern Asia;Southern Asia;Bhutan;64;BTN;763092
Americas;South America;South America;Bolivia;68;BOL;11513100
Europe;Southern Europe;Southern Europe;Bosnia and Herzegovina;70;BIH;3301000
Africa;Sub-Saharan Africa;Southern Africa;Botswana;72;BWA;2303697
Americas;South America;South America;Bouvet Island;74;BVT;#N/A
Americas;South America;South America;Brazil;76;BRA;211049527
Americas;Central America;Central America;Belize;84;BLZ;390353
Africa;Sub-Saharan Africa;Eastern Africa;British Indian Ocean Territory;86;IOT;#N/A
Oceania;Melanesia;Melanesia;Solomon Islands;90;SLB;669823
Americas;Latin America and the Caribbean;Caribbean;British Virgin Islands;92;VGB;30030
Asia;South-eastern Asia;South-eastern Asia;Brunei;96;BRN;433285
Europe;Eastern Europe;Eastern Europe;Bulgaria;100;BGR;6975761
Asia;South-eastern Asia;South-eastern Asia;Burma;104;MMR;54045420
Africa;Sub-Saharan Africa;Eastern Africa;Burundi;108;BDI;11530580
Europe;Eastern Europe;Eastern Europe;Belarus;112;BLR;9466856
Asia;South-eastern Asia;South-eastern Asia;Cambodia;116;KHM;16486542
Africa;Sub-Saharan Africa;Middle Africa;Cameroon;120;CMR;25876380
Americas;Northern America;Northern America;Canada;124;CAN;37589262
Africa;Sub-Saharan Africa;Western Africa;Cabo Verde;132;CPV;549935
Americas;Latin America and the Caribbean;Caribbean;Cayman Islands;136;CYM;64948
Africa;Sub-Saharan Africa;Middle Africa;Central African Republic;140;CAF;4745185
Asia;Southern Asia;Southern Asia;Sri Lanka;144;LKA;21803000
Africa;Sub-Saharan Africa;Middle Africa;Chad;148;TCD;15946876
Americas;South America;South America;Chile;152;CHL;18952038
Asia;Eastern Asia;Eastern Asia;China;156;CHN;1397715000
Oceania;Australia and New Zealand;Australia and New Zealand;Christmas Island;162;CXR;#N/A
Oceania;Australia and New Zealand;Australia and New Zealand;Cocos (Keeling) Islands;166;CCK;#N/A
Americas;South America;South America;Colombia;170;COL;50339443
Africa;Sub-Saharan Africa;Eastern Africa;Comoros;174;COM;850886
Africa;Sub-Saharan Africa;Eastern Africa;Mayotte;175;MYT;#N/A
Africa;Sub-Saharan Africa;Middle Africa;Congo (Brazzaville);178;COG;5380508
Africa;Sub-Saharan Africa;Middle Africa;Congo (Kinshasa);180;COD;86790567
Oceania;Polynesia;Polynesia;Cook Islands;184;COK;#N/A
Americas;Central America;Central America;Costa Rica;188;CRI;5047561
Europe;Southern Europe;Southern Europe;Croatia;191;HRV;4067500
Americas;Latin America and the Caribbean;Caribbean;Cuba;192;CUB;11333483
Asia;Western Asia;Western Asia;Cyprus;196;CYP;1198575
Europe;Eastern Europe;Eastern Europe;Czechia;203;CZE;10669709
Africa;Sub-Saharan Africa;Western Africa;Benin;204;BEN;11801151
Europe;Northern Europe;Channel Islands;Denmark;208;DNK;5818553
Americas;Latin America and the Caribbean;Caribbean;Dominica;212;DMA;71808
Americas;Latin America and the Caribbean;Caribbean;Dominican Republic;214;DOM;10738958
Americas;South America;South America;Ecuador;218;ECU;17373662
Americas;Central America;Central America;El Salvador;222;SLV;6453553
Africa;Sub-Saharan Africa;Middle Africa;Equatorial Guinea;226;GNQ;1355986
Africa;Sub-Saharan Africa;Eastern Africa;Ethiopia;231;ETH;112078730
Africa;Sub-Saharan Africa;Eastern Africa;Eritrea;232;ERI;3213972
Europe;Northern Europe;Northern Europe;Estonia;233;EST;1326590
Europe;Northern Europe;Northern Europe;Faroe Islands;234;FRO;48678
Americas;South America;South America;Falkland Islands (Malvinas);238;FLK;#N/A
Americas;South America;South America;South Georgia and the South Sandwich Islands;239;SGS;#N/A
Oceania;Melanesia;Melanesia;Fiji;242;FJI;889953
Europe;Northern Europe;Northern Europe;Finland;246;FIN;5520314
Europe;Northern Europe;Northern Europe;Åland Islands;248;ALA;#N/A
Europe;Western Europe;Western Europe;France;250;FRA;67059887
Americas;South America;South America;French Guiana;254;GUF;#N/A
Oceania;Polynesia;Polynesia;French Polynesia;258;PYF;279287
Africa;Sub-Saharan Africa;Eastern Africa;French Southern Territories;260;ATF;#N/A
Africa;Sub-Saharan Africa;Eastern Africa;Djibouti;262;DJI;973560
Africa;Sub-Saharan Africa;Middle Africa;Gabon;266;GAB;2172579
Asia;Western Asia;Western Asia;Georgia;268;GEO;3720382
Africa;Sub-Saharan Africa;Western Africa;Gambia;270;GMB;2347706
Asia;Western Asia;Western Asia;West Bank and Gaza;275;PSE;4685306
Europe;Western Europe;Western Europe;Germany;276;DEU;83132799
Africa;Sub-Saharan Africa;Western Africa;Ghana;288;GHA;30417856
Europe;Southern Europe;Southern Europe;Gibraltar;292;GIB;33701
Oceania;Micronesia;Micronesia;Kiribati;296;KIR;117606
Europe;Southern Europe;Southern Europe;Greece;300;GRC;10716322
Americas;Northern America;Northern America;Greenland;304;GRL;56225
Americas;Latin America and the Caribbean;Caribbean;Grenada;308;GRD;112003
Americas;Latin America and the Caribbean;Caribbean;Guadeloupe;312;GLP;#N/A
Oceania;Micronesia;Micronesia;Guam;316;GUM;167294
Americas;Central America;Central America;Guatemala;320;GTM;16604026
Africa;Sub-Saharan Africa;Western Africa;Guinea;324;GIN;12771246
Americas;South America;South America;Guyana;328;GUY;782766
Americas;Latin America and the Caribbean;Caribbean;Haiti;332;HTI;11263077
Oceania;Australia and New Zealand;Australia and New Zealand;Heard Island and McDonald Islands;334;HMD;#N/A
Europe;Southern Europe;Southern Europe;Holy See;336;VAT;#N/A
Americas;Central America;Central America;Honduras;340;HND;9746117
Asia;Eastern Asia;Eastern Asia;China, Hong Kong Special Administrative Region;344;HKG;7507400
Europe;Eastern Europe;Eastern Europe;Hungary;348;HUN;9769949
Europe;Northern Europe;Northern Europe;Iceland;352;ISL;361313
Asia;Southern Asia;Southern Asia;India;356;IND;1366417754
Asia;South-eastern Asia;South-eastern Asia;Indonesia;360;IDN;270625568
Asia;Southern Asia;Southern Asia;Iran;364;IRN;82913906
Asia;Western Asia;Western Asia;Iraq;368;IRQ;39309783
Europe;Northern Europe;Northern Europe;Ireland;372;IRL;4941444
Asia;Western Asia;Western Asia;Israel;376;ISR;9053300
Europe;Southern Europe;Southern Europe;Italy;380;ITA;60297396
Africa;Sub-Saharan Africa;Western Africa;Cote d'Ivoire;384;CIV;25716544
Americas;Latin America and the Caribbean;Caribbean;Jamaica;388;JAM;2948279
Asia;Eastern Asia;Eastern Asia;Japan;392;JPN;126264931
Asia;Central Asia;Central Asia;Kazakhstan;398;KAZ;18513930
Asia;Western Asia;Western Asia;Jordan;400;JOR;10101694
Africa;Sub-Saharan Africa;Eastern Africa;Kenya;404;KEN;52573973
Asia;Eastern Asia;Eastern Asia;Democratic People's Republic of Korea;408;PRK;25666161
Asia;Eastern Asia;Eastern Asia;Korea, South;410;KOR;51709098
Asia;Western Asia;Western Asia;Kuwait;414;KWT;4207083
Asia;Central Asia;Central Asia;Kyrgyzstan;417;KGZ;6456900
Asia;South-eastern Asia;South-eastern Asia;Laos;418;LAO;7169455
Asia;Western Asia;Western Asia;Lebanon;422;LBN;6855713
Africa;Sub-Saharan Africa;Southern Africa;Lesotho;426;LSO;2125268
Europe;Northern Europe;Northern Europe;Latvia;428;LVA;1912789
Africa;Sub-Saharan Africa;Western Africa;Liberia;430;LBR;4937374
Africa;Northern Africa;Northern Africa;Libya;434;LBY;6777452
Europe;Western Europe;Western Europe;Liechtenstein;438;LIE;38019
Europe;Northern Europe;Northern Europe;Lithuania;440;LTU;2786844
Europe;Western Europe;Western Europe;Luxembourg;442;LUX;619896
Asia;Eastern Asia;Eastern Asia;China, Macao Special Administrative Region;446;MAC;640445
Africa;Sub-Saharan Africa;Eastern Africa;Madagascar;450;MDG;26969307
Africa;Sub-Saharan Africa;Eastern Africa;Malawi;454;MWI;18628747
Asia;South-eastern Asia;South-eastern Asia;Malaysia;458;MYS;31949777
Asia;Southern Asia;Southern Asia;Maldives;462;MDV;530953
Africa;Sub-Saharan Africa;Western Africa;Mali;466;MLI;19658031
Europe;Southern Europe;Southern Europe;Malta;470;MLT;502653
Americas;Latin America and the Caribbean;Caribbean;Martinique;474;MTQ;#N/A
Africa;Sub-Saharan Africa;Western Africa;Mauritania;478;MRT;4525696
Africa;Sub-Saharan Africa;Eastern Africa;Mauritius;480;MUS;1265711
Americas;Central America;Central America;Mexico;484;MEX;127575529
Europe;Western Europe;Western Europe;Monaco;492;MCO;38964
Asia;Eastern Asia;Eastern Asia;Mongolia;496;MNG;3225167
Europe;Eastern Europe;Eastern Europe;Moldova;498;MDA;2657637
Europe;Southern Europe;Southern Europe;Montenegro;499;MNE;622137
Americas;Latin America and the Caribbean;Caribbean;Montserrat;500;MSR;#N/A
Africa;Northern Africa;Northern Africa;Morocco;504;MAR;36471769
